new_num	new_name	facet	stage	site_count	sample_old_cerrs
30700	already_declared_assume_alias	already_declared	3	8	invalid_assume
30701	already_declared_block_argument	already_declared	3	5	argument_already_declared,variable_not_found
30702	already_declared_function	already_declared	3	8	cant_infer_generic,function_already_declared
30703	already_declared_label	already_declared	3	1	invalid_label
30704	already_declared_local_variable	already_declared	3	5	variable_not_found
30705	already_declared_structure_field_init	already_declared	3	1	field_already_initialized
30706	already_declared_table	already_declared	3	4	duplicate_key
30707	already_declared_tuple_field	already_declared	3	1	field_already_initialized
30708	already_declared_variable	already_declared	3	5	variable_not_found
30709	already_declared_with_shadow	already_declared	3	1	variable_not_found
30800	lookup_annotation_field	lookup	3	1	cant_get_field
30801	lookup_argument_type	lookup	3	1	invalid_type
30802	lookup_bitfield	lookup	3	3	bitfield_not_found,cant_get_field
30803	lookup_block_argument_type	lookup	3	1	type_not_found
30804	lookup_block_result_type	lookup	3	1	type_not_found
30805	lookup_cast_type	lookup	3	2	type_not_found
30806	lookup_constructor	lookup	3	1	function_not_found
30807	lookup_expression_type	lookup	3	1	type_not_found
